Item Number,Price,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition
85264984016,219,Lenovo,Intel Core i5 8th Gen.,14.0 in,Unknown,8.0 GB,256 GB,Intel UHD Graphics 620,1.7 GHz,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad X1 Yoga (3rd Gen),Windows 11 Pro,Unknown,SSD (Solid State Drive),"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Stylus,  Widescreen Display,  Wi-Fi","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984017,229.99,Dell,Intel Core i3 4th Gen.,15.6 in,Black,4.0 GB,Unknown,Intel HD Graphics 4400,1.90 GHz,Notebook/Laptop,1366 x 768,Dell Latitude E5540,Not Included,Unknown,Not Included,"Built-in Microphone,  Built-in Webcam,  Wi-Fi,  Wi-Fi Toggle,  Full Keyboard","For parts or not workingAn item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab"
85264984018,219.99,Dell,Intel Core i7 8th Gen.,13.0 in,Gray,16.0 GB,512 GB,Intel UHD Graphics 620,1.60 GHz,Notebook/Laptop,1920 x 1080,Dell Latitude 7390,Windows 10 Pro,Unknown,SSD (Solid State Drive),"Built-in Webcam, Built-in Microphone, Touchscreen","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984019,369.99,Lenovo,intel core i5 8th gen,15.6 in,Black,32.0 GB,512 GB,Intel UHD Graphics 620,2.60 GHz,Notebook/Laptop,1920 x 1080p,Lenovo Thinkpad T580,Windows 11 Pro,512 GB,SSD (Solid State Drive),"Bluetooth 4.1 Wireless, Thunderbolt 3port, 4-in-1 card reader (SD, MMC, SDHC, SDXC), Dolby Audio Premium, LED Backlit-Keyboard, 720p HD Camera with microphone","Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984022,450,Dell,Intel Core i5 8th Gen.,15.6 in,Black,nan GB,256 GBSSD,Intel HD Graphics,1.70 GHz,Notebook/Laptop,1920 x 1080,Dell Lat 5590 i5-8350U,Windows 10,256 GBSSD,256GBSSD,"10/100 LAN Card,  3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Double Screen","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264984034,199,HP,Intel Core i7 6th Gen.,14.0 in,Silver,8.0 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,1920 x 1080,Elitebook 840 G3,Windows 11 Pro,256 GB,SSD (Solid State Drive),"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
85264984036,87,Lenovo,Intel Core M-5Y71,13.0 in,Silver/Black,8.0 GB,256 GB,Intel HD Graphics 5300,1.20 GHz,Notebook/Laptop,3200 x 1800,Lenovo Yoga 3 Pro,Windows 10 Home,Unknown,SSD (Solid State Drive),Touchscreen,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab "
85264984041,184.5,Lenovo,Intel Core i5 3rd Gen.,14.0 in,Unknown,8.0 GB,128 GB,Intel HD Graphics 4000,2.60 GHz,Notebook/Laptop,1600 x 900,Lenovo ThinkPad T430,Windows 10 Pro,Unknown,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Optical Drive,  Widescreen Display,  Wi-Fi","Good - RefurbishedThe item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab"
85264984043,259.84,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8.0 GB,256 GB,Intel HD Graphics,1.50 GHz,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256 GB,SSD (Solid State Drive),"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen","UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab"
85264984048,289.99,Dell,Intel Core i7 7th Gen.,15.6 in,Black,32.0 GB,512 GB,Intel HD Graphics 630,2.90GHz,Notebook/Laptop,1920 x 1080,5580,Windows 11 Pro,512 GB,SSD (Solid State Drive),"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi","Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab "
